model,task,task_level,layer,n_items,majority,rand_acc,selectivity,delta,expected_layer,acc_mean,acc_std,f1_mean,f1_std,group,l1,prof_level,mode
rubert,sent_len_bin,sent,0,1650,0.4163,0.3914,0.3461,0.7376,0.25,0.7376,0.0104,0.7358,0.0122,A1,all,A1,pooled
rubert,sent_len_bin,sent,0,3632,0.4163,0.3914,0.3575,0.7489,0.1369,0.7489,0.0102,0.7549,0.0098,A2,all,A2,pooled
rubert,sent_len_bin,sent,0,6422,0.4163,0.3914,0.3717,0.7632,0.0988,0.7632,0.004,0.7659,0.0033,B1,all,B1,pooled
rubert,sent_len_bin,sent,0,7535,0.4163,0.3914,0.3816,0.7731,0.1981,0.7731,0.0068,0.7535,0.0061,B2,all,B2,pooled
rubert,sent_len_bin,sent,0,6244,0.4163,0.3914,0.3736,0.7651,0.181,0.7651,0.0035,0.7406,0.0043,C1,all,C1,pooled
rubert,sent_len_bin,sent,1,1650,0.4163,0.3914,0.357,0.0109,0.25,0.7485,0.0048,0.7463,0.0052,A1,all,A1,pooled
rubert,sent_len_bin,sent,1,3632,0.4163,0.3914,0.3553,-0.0022,0.1369,0.7467,0.0081,0.753,0.0081,A2,all,A2,pooled
rubert,sent_len_bin,sent,1,6422,0.4163,0.3914,0.3758,0.004,0.0988,0.7672,0.0045,0.7703,0.0038,B1,all,B1,pooled
rubert,sent_len_bin,sent,1,7535,0.4163,0.3914,0.3896,0.008,0.1981,0.781,0.003,0.7632,0.0045,B2,all,B2,pooled
rubert,sent_len_bin,sent,1,6244,0.4163,0.3914,0.3781,0.0045,0.181,0.7695,0.0085,0.7471,0.0088,C1,all,C1,pooled
rubert,sent_len_bin,sent,2,1650,0.4163,0.3914,0.3758,0.0188,0.25,0.7673,0.0065,0.764,0.0048,A1,all,A1,pooled
rubert,sent_len_bin,sent,2,3632,0.4163,0.3914,0.371,0.0157,0.1369,0.7624,0.0063,0.7684,0.0063,A2,all,A2,pooled
rubert,sent_len_bin,sent,2,6422,0.4163,0.3914,0.3762,0.0005,0.0988,0.7677,0.0026,0.7711,0.0022,B1,all,B1,pooled
rubert,sent_len_bin,sent,2,7535,0.4163,0.3914,0.3949,0.0053,0.1981,0.7863,0.0017,0.7689,0.0027,B2,all,B2,pooled
rubert,sent_len_bin,sent,2,6244,0.4163,0.3914,0.3928,0.0147,0.181,0.7843,0.0024,0.7642,0.0014,C1,all,C1,pooled
rubert,sent_len_bin,sent,3,1650,0.4163,0.3914,0.3746,-0.0012,0.25,0.7661,0.012,0.7638,0.0084,A1,all,A1,pooled
rubert,sent_len_bin,sent,3,3632,0.4163,0.3914,0.3789,0.008,0.1369,0.7704,0.0075,0.7763,0.0074,A2,all,A2,pooled
