model,task,level,l1,resource_type,layer,n_items,majority,rand_acc,selectivity,delta,expected_layer,acc_mean,acc_std,f1_mean,f1_std
rubert,sent_len_bin,sent,random_baseline,n/a,12,25483,0.4163,0.3914,0.0,0.0,-1.0,0.3914,0.0018,0.3199,0.0009
rubert,sent_len_bin,sent,arabic,n/a,0,1152,0.4163,0.3914,0.3863,0.7778,0.2936,0.7778,0.0149,0.7745,0.0154
rubert,sent_len_bin,sent,bulgarian,n/a,0,758,0.4163,0.3914,0.3659,0.7573,0.1556,0.7573,0.018,0.7515,0.0211
rubert,sent_len_bin,sent,chinese,n/a,0,2261,0.4163,0.3914,0.3436,0.7351,0.2234,0.7351,0.0033,0.7348,0.0059
rubert,sent_len_bin,sent,english,n/a,0,2935,0.4163,0.3914,0.3721,0.7635,0.2464,0.7635,0.0076,0.7543,0.0062
rubert,sent_len_bin,sent,finnish,n/a,0,2695,0.4163,0.3914,0.3459,0.7373,0.2287,0.7373,0.0136,0.7068,0.0152
rubert,sent_len_bin,sent,french,n/a,0,2187,0.4163,0.3914,0.3264,0.7179,0.1799,0.7179,0.0131,0.7108,0.0129
rubert,sent_len_bin,sent,german,n/a,0,1504,0.4163,0.3914,0.3526,0.744,0.1779,0.744,0.011,0.729,0.0082
rubert,sent_len_bin,sent,hindi,n/a,0,322,0.4163,0.3914,0.3509,0.7423,0.3096,0.7423,0.0147,0.7473,0.0146
rubert,sent_len_bin,sent,hungarian,n/a,0,217,0.4163,0.3914,0.2999,0.6913,1.0989,0.6913,0.0317,0.6679,0.034
rubert,sent_len_bin,sent,italian,n/a,0,1501,0.4163,0.3914,0.3747,0.7662,0.2691,0.7662,0.0041,0.7265,0.0043
rubert,sent_len_bin,sent,japonese,n/a,0,1320,0.4163,0.3914,0.3722,0.7636,0.2268,0.7636,0.0103,0.7666,0.0132
rubert,sent_len_bin,sent,kazah,n/a,0,2276,0.4163,0.3914,0.3665,0.7579,0.1993,0.7579,0.016,0.7551,0.0147
rubert,sent_len_bin,sent,korean,n/a,0,2175,0.4163,0.3914,0.3663,0.7577,0.2361,0.7577,0.0142,0.7519,0.0147
rubert,sent_len_bin,sent,norwegian,n/a,0,849,0.4163,0.3914,0.3612,0.7527,0.3109,0.7527,0.035,0.7572,0.0336
rubert,sent_len_bin,sent,pushtu,n/a,0,293,0.4163,0.3914,0.3902,0.7816,0.2221,0.7816,0.0164,0.7821,0.0177
rubert,sent_len_bin,sent,swedish,n/a,0,1888,0.4163,0.3914,0.3575,0.7489,0.0845,0.7489,0.0109,0.7554,0.0109
rubert,sent_len_bin,sent,thai,n/a,0,318,0.4163,0.3914,0.3067,0.6981,0.5167,0.6981,0.0469,0.6909,0.0485
rubert,sent_len_bin,sent,сzech,n/a,0,832,0.4163,0.3914,0.4115,0.8029,0.2444,0.8029,0.0287,0.6312,0.0513
rubert,sent_len_bin,sent,resource_high,high,0,19199,0.4163,0.3914,0.4035,0.7949,0.0997,0.7949,0.0028,0.7934,0.0025
rubert,sent_len_bin,sent,resource_low,low,0,6284,0.4163,0.3914,0.3649,0.7564,0.2727,0.7564,0.0031,0.7468,0.0069
rubert,sent_len_bin,sent,arabic,n/a,1,1152,0.4163,0.3914,0.3976,0.0113,0.2936,0.7891,0.0056,0.7881,0.0066
rubert,sent_len_bin,sent,bulgarian,n/a,1,758,0.4163,0.3914,0.3724,0.0066,0.1556,0.7639,0.013,0.7605,0.0105
rubert,sent_len_bin,sent,chinese,n/a,1,2261,0.4163,0.3914,0.3534,0.0097,0.2234,0.7448,0.0095,0.7465,0.0116
rubert,sent_len_bin,sent,english,n/a,1,2935,0.4163,0.3914,0.3728,0.0007,0.2464,0.7642,0.0076,0.7539,0.0038
rubert,sent_len_bin,sent,finnish,n/a,1,2695,0.4163,0.3914,0.3455,-0.0004,0.2287,0.7369,0.0181,0.7015,0.0128
rubert,sent_len_bin,sent,french,n/a,1,2187,0.4163,0.3914,0.3182,-0.0082,0.1799,0.7096,0.0188,0.7044,0.017
