text_id,text,dominant_language,level_of_rus,background
13269,"Когда я был мальчик, я мечтал быть биснессмен. Поэтому когда я закончал школу, я шёл в университете и писал экзамен для экономики факультет. Там в университете я училься как быть экономистам. Экономика играет жизни роль в обшестве и госудавстве. Это также помогает госудавства чтобы удовлетворять людей потребность такие как эда, транспорта, работа, образование, и т.д.
Экономику учить людеи как управлять ресусами и как делют хорошие решение.
Я думаю всем людеи — экономиста. Потому что каждыин день человек занимающийся экономики. На пример, в семья, мама управлаять дом, она готовите эда, купит продукты в магазине, и удовлатворять дети потребность, хотя у нее и нет диплома. Я читал что вы нужно диплома быть экономиста.",english,B1,L2
13226,"Б) мне надо посетить Швецию. Часто, люди говорят Швеция похожа Россию , как природа, но я еще хочу посетить Швеция. Сначала, я бы поехать «Стокголм» и посмотреть АББА музей , потому что моя любимая группа из АВВА. Я буду посмотреть много лодке и может быть спать на лодке (они есть отели на реке). У Стокголм есть красивой здании. А потом, я бы поехать к северу. Я хочу посмотреть цвета «Аурора Бореалис», я знаю мы можем посмотреть в России но я думаю в Швеции это будет светлое. Я хочу узнать о «Сами люди». У них есть традиции с оленьими и я думаю это очень круто. У Швецих людям есть история с викингом. Моей подруге уже посетила Швеция и она сказала мне о «викинг музей». У этот музей есть оригинальный лодка, когда она показала свои фотографии, я была в любви. Мне надо посмотреть эта лодка. Я не знаю почему я люблю Швеция но я знаю, я поеду и найду ответ.",english,A2,Heritage
13223,"а) транспорт в мире менялся. Давным-давно люди использовали животные для транспорта например лошади и т.д. Но сейчас благодаря технологии у нас есть современный транспорт чтобы ехать по городу и путешествовать по миру. У нас есть машины, мотоциклы, самолеты и поезда для этого. Этот транспорт очень удобно, быстро и не очень безопасно особенно самолет, машины и мотоциклы но поезда очень безопасно. Поэтому эта типа транспорта моя любимая типа транспорта. В общем это очень хорошо потому что раньше люди использовали месяцев чтобы ездить в другую страну но сейчас мы используем часов чтобы ездить в другие страны через самолетов. Обычно люди говорят что это очень дорого и очень длинный процесс чтобы лететь на самолете в другие страны потому что сначала надо получать визу и купить билет рейса. Это дорогой процесс.",english,A2,L2
13197,"Здравствуйте, 
Меня зовут Чинуа Эзе, я из Нигерии. Я учился в Нигерии, я выбираю эту программу потому что я всегда хочу быть бизнесмен. И я знаю что если я изучаю бизнес управление, я буду хорошо бизнесмен. Когда я заканчиваю учиться, я хочу работать на большая компания или начать мой бизнес. Сейчас я говорю и понимаю мало по-русски, я начал звучать русский язык 6 месяц назад. Я могу читать, и говорить, я думаю слушать это трудно меня потому что русские говорят быстро. Я думаю самым трудным меня это погода, зимой было очень холодно, я всегда болел. Я думаю знакомиться и говорить с люди легко потому что русские хорошие люди. Учиться интересно, потому что я никогда не учил международныи язык. Я люблю музыку, поетому я планирую слушать русская музыку, чтобы хорошо учиться. Спасибо. Надеюсь получить положительный ответ от вас.",english,A1,L2
13196,"Привет, 
Отдыхаю, отпус и работать, которые интересном тема. 
Несколко людей очевенно визнесмен думаю что никто не сможет работать вес отпуска. Потому что общепринятые нормы, которые написаты в законах нашей страны. С другои страны, несколко людей думаю что, отдыхаю это нужна. Парример , Сергей, которы программист, понял, как важно давать людям отдых на какое-то время. Сначала они работели вез выходных, но за неделю так уставали, что в воскресенье, делали очень мало и плохо. Но, он уверен, что отдыхать долго – это не лучшая идея. Поетому что никто не может делать его работу так же хорошо он думаю, оптилално давать, людям которыи отпуск три четыре раза в год. Однако, несколко людей, не согласна с время отпуска. Пример Элена, кототярия переводчик, думаю что, отпуск смогу высокии. Вольше чем две недели два раза в год. Но несколько людей отдыхаю, пока не захочу вернуться к работе. 
По ттечна, я думаю человек нужна отдыхать. Но время отдыхаю вырос нет ответа. Потому что все люди бизнес разные. Кто-то устает быстро и отдыхает долго, а кто так любит свою работу, что она дает болше сил, чем чем самыи большей отпуск.",english,A1,L2
13193,"Надеюсь, это письмо найти вам хорошо. Меня зовут Кул Кноса. Мне 25 лет. Я из Ганы и я живу в Аккря. Я хочу написать эти письмо потому что я хочу изучать экономический программы в этого университет. Я закончил мой образовательный программы в экономику и хочу изучать выше в российский университет (НШЭ). Раньше я учился в «University of Cape Coart». Я выбрал эту специальцить потому что, я думаю моя страна Гана делает 
плохо в наше экономику. Поетому я выбрал учился экономику в мой вакаллавр программа. Когда я закончил эту программ я был работать с университет. Который я учились экономику. 
Я хочу работать с преподавотелом в россий когда я закончилсь учится. А ещё, я хорошо знаю и говорю по-русски. Я стал изучать русский язык в интернете потому что я уже хотел изучать в россий. Из за мой бакаллавр, я изучал как использую комрутера программы. Например, STATA, R и т.д. А ещё, я умеею играть футбол, что ещё трудно, я думаю что, думю что, если я хочу говорить с людом в университете, они не хочуат поетому они хочат помодать мое когда мне надо помодать из ним.
Мне кажтся что в универсетет в россий есть много иностраных студентов, может быть из африка, Китае, США и гермманя. Котором я могу рассазать с ним. И россикый университет дайте многих варианых для работает и изучает хорошо для мне.",english,A2,L2
13136,"Здравствуите!
Как дела сейчас? И где ты мои друр Александру. Меня зовут Виктор из Кеня в городе Наироби. Раньше я учились в унивеситете в Наироби. Сеичас я живу Москове городе в руссий потому что я учиться русский язык. А потом я хочу учисмя маrистуrа в экономикс в унивеситете ВШЕ школа экономiксs. 
Я учистя русский язык потот что я хочу готовить порусскйй. Русский язык очень интересная. Я закончил учиться в сентебая в 2024 году. А потот в 2024 году я буду начать магистира. Я стять экономиста и работать в Banke. Сейчас я говорите по-русски хорошо. Неделая я изучаете и я понимаю русски слова чуть чуть. В своводния вретя я учиться с груг. 
Руссия городе хорошо места чтобы жить.  Погода некодdя плоно. Многа люду жить в Москове городе. В Москве парке очень интересная.
Сейчас где ты? Он учиться раватять. Следешей лето я хочу идить в Наиробу. Я у нас вопросы. Какие программы умеем в унивестите? Я хочу учиться экономиста гротрат. Я стать экономиста. 
Спасибо ",english,A1,L2
13135,"Социальная мобильность - это ситуация, когда у человека или группы людей меняется социальныи статус, то есть положение в социуме. Социальная мобильность изучает трогательнои людеи статую ровныи в ровныи.
У нас есть много социальнои мобильности, например, индивидуальная (статус, меняется у отдельного индивида), групповая (статус меняется группы людей), профессиональная (человек менянет должность на работе - с повышением или понижением); экономическая (человек был богатым, а стал бедным или наоборот) экс-президетом которые важныи экономик. 
Во первых межпоколенную мобильности - это случае разны социальныи статус будет у родителей и их детеи. Напремер, меняется работать, местность, профессиональная, политическая можно меняется жизни ваших друзей родьных. Так, внутрипоколенную мобильность статус будет менять быть ситуация, когда человек переезжает в другои район или город или меняет место работы.
Каждыи экоNомкечский, людей моняется профессия, групповая, экономическая, политическая, экономическая потому что у них есть разныи, задний план, работать, людеи - богатыи или, а стал бедным или наоборот.
По данным организации экономического сотрудничество и развития социальная мобильность детеи зависит от образования и профессии родителей.
НИУ ВШЭ для повышения социальнои мобильности молодежи потому что людеи меняестся моложение и учают межпоколенную мобильности. Тетья категория - дети, живушие в городах или деревнях, где нет или очень мало университетов.",english,A2,L2
13130,"Я надеюсь все хорошо. Мне нужно написать тебе письмо потому что моего друга буду прихать учиться в Россию на следующий год. Его зовут Дугласа. Он из Гане. Моему друг был учился в унивеситете в Гане. Это Кап-Кост унивеситете. Там его закончил бакалавр. На аэропорт ты поступаешь моему другу. В двех тысяча двадцат года в Гане. Мы познакомились потому что моему друзьями очень добрый. Я люблу моему другу потому что ему очен хорошо человек во втоник, я не люблу мне друг когда ему сердитый. Он хорошо говорил по англисскии язык и не плохо говорил по-фразускии язык. Моему другу не хорошо понимает рисски язык поетему я хочу тебе помочь моего друга. Моему другу можить петь и это интресен. Вам можить быть петь вместе с моему другу. Моему другу имеет хорошо характер чтобы его учитель мне мое домашнне задание. Моему другу можить быть помочь тебе в новой ситуации. Напримя он просто убедительный людей или челавек в каждый ситуации. Я хочу спросить тебе когда мы будем вместе. Твой друг, Пока! Пока!",english,A1,L2
13102,"  В 8622 славянские старейшины призвали варяжских князей править на славянской земле, потому что их князья ссорились друг с другом. Рюрик согласился и пришёл к славянам со своими братьями. Затем Рюрик правил в Новгороде, Синеус - на Бело-озере, и Трмвор - в Изборске. Рюрик основали династию - Рюриковичи, и его династия управляли русским государством 750 лет. В 879 г, он умер.
     Олег родственник Рюрика стал князем, потому что сын Рюрика был ещё маленьким. В 882г Олег захватил Киев у Аскольда и Дира, объединил Киев и Новгород, которые были крупнейшими городами на славянской земле и сделал Киев столицей древнерусского государства. Олег хотел, чтобы Киевская Русь становилась более сильной страной, поэтому отправился в военный поход на Византию в 907г и захватил Константинополь. Олег подписал выгодный торговый договор с Византией, что русским купцам разрешается торговать в Византии без уплаты дани. Олег умер в 912г от укуса змеи.
      В 912 г Игор, сын Рюрика начал править. В 915г он заключил мир с печенегами, и в 922г он подчинил несколько племен. В 943г он совершил неудачий поход на кавказ, потому что когда он с своем флотом возвращались домой, на них начали начали хазары и они были рабиты. В 941г Игор и его флот отправились в поход на Византию, но они не смогли приблизиться к стенам константинополя, поэтому Византийцы сожгли большую часть флота Игоря. Через два года, Игорь опять отправился в поход на Византию, поход был удачей, потому что Император Византии подарил огромные дары Игорю, и Игорю это очень понравилось. В 944г, договор был подписан между Русью и Византией, что Русь должна была платить дань, Игорь также обещал защищать Византию и Византийцы обещали давать ему свое войско. Древляне отказались дать ему своё войско и Игорь решил взять большую дань от них за это. Но, когда он попытался собрать дань второй раз, древляне убили его. Это произошло в 945г.
   Ольга жена Игоря получила дурную весть о гибели Игоря от князя Мала, который также предложил ей выйти замуж за него. Тогда в 945г она уже стала княгиней после гибели своего мужа и не хотела отдавать власть, но она притворно согласилась, чтобы отметить за смерть своего мужа. Первая месть была, когда Ольга сожгла заживо послов князя Мала в яме, когда они пришли в гости в дворец Ольги. Вторая месть была, когда Ольга сожгла заживо в боне знатные древлянские мужи, которые пришли в киев ко ней. Третья месть была, когда она послала сказать Малу, что она идёт к нему и хочет тризну на молиге своего мужа. Во время тризны, когда знатные древляне и Мал напились, Ольга приказала своим дружинникам убить всех их. Четвёртая месть была, когда Ольга заставила древлян платить ей дань голубями, и после они заплатили, Ольга приказала своим дружинникам прикрепить трут к голубям и отправить их обратно к дрелянам. Затем их город был подожжен. Это поизошло в 946г. После мести Ольги, она захватил Искоростень (древлянскую землю), а потом вернулась в Киев с дружиной и маленьким сыном Святославом. Им было нельзя собирать дань дважды и Ольга назначила размер дани, жители должны были вносить. В 957г Ольга приняла Христианство и крестилась под именем Елена в константинополе. 
    Затем Ольга вернулась в Киев и передала власть сыну Святославу в 957г. Он любит ходить в походы, и во время его длительных походов, Ольга продолжала управлять государством. Но в 964г Святослав самостоятельно начал править. Походы Святослава принесли русским воинам славу. У Святослава была три сына. Старшего сына Ярополка он оставил в Киеве, второго сына-Олега он отправил в землю древлянскую, и третьего сына - Владимира он отпустил с дядей в Новгород. Тогда в 971г Святослав отправился на Дунай и началась война с Византией, но все устали от битв и мирный договор был подписан. В 972г на Святослава и его дружину начали и они был убиты.",english,A1,L2
